,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
195,ARGD,"Argo Group International Holdings, Ltd.",25.595,,,Finance,Specialty Insurers
877,DUKH,Duke Energy Corporation,25.59,,,Public Utilities,Power Generation
863,DSX^B,Diana Shipping inc.,25.5702,,,,
2401,RF^A,Regions Financial Corporation,25.57,,,,
2380,RCP,Ready Capital Corporation,25.55,,2018,Consumer Services,Real Estate Investment Trusts
594,CIT^B,CIT Group Inc (DEL),25.55,,,,
2433,RMPL^,RiverNorth Marketplace Lending Corporation,25.55,,,,
2149,OSLE,Oaktree Specialty Lending Corporation,25.55,,,,
2306,PSA^C,Public Storage,25.55,,,Consumer Services,Real Estate Investment Trusts
2179,PBY,Prospect Capital Corporation,25.5467,$1.3B,2018,,
2794,TNP^C,Tsakos Energy Navigation Ltd,25.54,,,,
2195,PEB^C,Pebblebrook Hotel Trust,25.54,,,,
1692,LMHB,"Legg Mason, Inc.",25.53,,2016,Finance,Investment Managers
662,COF^G,Capital One Financial Corporation,25.5299,,,,
2662,STAR^D,iStar Inc.,25.5227,,,,
2283,PRE^F,PartnerRe Ltd.,25.52,,,,
460,BXP^B,"Boston Properties, Inc.",25.5193,,,,
2882,UFI,"Unifi, Inc.",25.51,$471.83M,,Consumer Non-Durables,Textiles
2398,REXR^C,"Rexford Industrial Realty, Inc.",25.51,,,,
830,DLR^L,"Digital Realty Trust, Inc.",25.51,,,,
1409,HTH,Hilltop Holdings Inc.,25.51,$2.31B,,Finance,Major Banks
1407,HTFA,Horizon Technology Finance Corporation,25.51,,2017,,
2617,SPE^B,Special Opportunities Fund Inc.,25.5,,,,
657,CODI^B,Compass Diversified Holdings,25.5,,,,
944,ELU,"Entergy Louisiana, Inc.",25.5,,,Public Utilities,Electric Utilities: Central
39,AEFC,Aegon Funding Company LLC,25.5,,2019,Finance,Life Insurance
1947,NEE^J,"NextEra Energy, Inc.",25.5,,,,
1560,JPI,Nuveen Preferred and Income Term Fund,25.4944,$580.18M,2012,,
1968,NGL^C,NGL ENERGY PARTNERS LP,25.494,,,,
828,DLR^J,"Digital Realty Trust, Inc.",25.49,,,,
2150,OUT,OUTFRONT Media Inc.,25.49,$3.66B,2014,Consumer Services,Real Estate Investment Trusts
2491,SAR,Saratoga Investment Corp,25.49,$248.42M,,,
713,CTBB,Qwest Corporation,25.49,,2016,Public Utilities,Telecommunications Equipment
1255,GNT^A,"GAMCO Natural Resources, Gold & Income Tust ",25.49,,,,
2480,SAB,Saratoga Investment Corp,25.48,,2016,,
2808,TPR,"Tapestry, Inc.",25.48,$7.03B,,Consumer Non-Durables,Apparel
2560,SITC^K,SITE Centers Corp.,25.48,,,,
2042,NRZ^B,New Residential Investment Corp.,25.48,,,,
2863,TWO^E,Two Harbors Investments Corp,25.48,,,,
462,BXS^A,BancorpSouth Bank,25.47,,,,
1902,MVCD,"MVC Capital, Inc.",25.47,,2017,,
2198,PEB^F,Pebblebrook Hotel Trust,25.4629,,,,
919,EFC^A,Ellington Financial Inc.,25.46,,,,
2312,PSA^I,Public Storage,25.4597,,,,
730,CTV,Qwest Corporation,25.45,,2014,Public Utilities,Telecommunications Equipment
290,BANC^D,"Banc of California, Inc.",25.45,,,,
1567,JPM^J,J P Morgan Chase & Co,25.45,,,Finance,Major Banks
1806,MITT^A,"AG Mortgage Investment Trust, Inc.",25.45,,,,
2507,SCA,Stellus Capital Investment Corporation,25.45,,,,
1125,FRC^F,FIRST REPUBLIC BANK,25.45,,,,
2703,SYF^A,Synchrony Financial,25.44,,,,
658,CODI^C,Compass Diversified Holdings,25.44,,,,
2307,PSA^D,Public Storage,25.43,,,Consumer Services,Real Estate Investment Trusts
665,COF^P,Capital One Financial Corporation,25.4299,,,,
2308,PSA^E,Public Storage,25.42,,,Consumer Services,Real Estate Investment Trusts
889,EAE,"Entergy Arkansas, LLC",25.41,,2013,Public Utilities,Electric Utilities: Central
905,ECCY,Eagle Point Credit Company Inc.,25.41,,2017,,
1297,GSL^B,"Global Ship Lease, Inc.",25.4096,,,,
1946,NEE^I,"NextEra Energy, Inc.",25.4,,,,
1788,MGU,Macquarie Global Infrastructure Total Return Fund Inc.,25.4,$316.69M,2005,,
3109,ZB^H,Zions Bancorporation N.A.,25.4,,,,
883,DX^B,"Dynex Capital, Inc.",25.4,,,,
987,EQM,"EQM Midstream Partners, LP",25.39,$5.27B,2012,Public Utilities,Natural Gas Distribution
2721,TCO^J,"Taubman Centers, Inc.",25.39,,,,
1552,JMPD,JMP Group LLC,25.39,,2017,Finance,Investment Bankers/Brokers/Service
2440,RNR^E,RenaissanceRe Holdings Ltd.,25.39,,,,
2722,TCO^K,"Taubman Centers, Inc.",25.3812,,,,
1564,JPM^F,J P Morgan Chase & Co,25.38,,,,
2322,PSB^Y,"PS Business Parks, Inc.",25.38,,,,
2752,TFC^G,Truist Financial Corporation,25.3779,,,,
2196,PEB^D,Pebblebrook Hotel Trust,25.3764,,,,
1142,FTAI^B,Fortress Transportation and Infrastructure Investors LLC,25.37,,,,
284,BAC^Y,Bank of America Corporation,25.37,,,Finance,Major Banks
3061,WRB^B,W.R. Berkley Corporation,25.36,,,,
3024,WFC^T,Wells Fargo & Company,25.36,,,,
888,EAB,"Entergy Arkansas, LLC",25.36,,,Public Utilities,Electric Utilities: Central
1967,NGL^B,NGL ENERGY PARTNERS LP,25.36,,,,
733,CTZ,Qwest Corporation,25.35,,,Public Utilities,Telecommunications Equipment
2677,STT^C,State Street Corporation,25.35,,,,
2663,STAR^G,iStar Inc.,25.35,,,,
959,ENJ,"Entergy New Orleans, LLC",25.35,,,Public Utilities,Power Generation
1343,HFRO^A,Highland Income Fund,25.35,,,,
2734,TDJ,"Telephone and Data Systems, Inc.",25.34,,,Public Utilities,Telecommunications Equipment
2927,UZA,United States Cellular Corporation,25.34,,,Public Utilities,Telecommunications Equipment
2751,TFC^F,Truist Financial Corporation,25.336,,,,
2664,STAR^I,iStar Inc.,25.3349,,,,
1157,GAB^H,"Gabelli Equity Trust, Inc. (The)",25.331,,,,
2169,PBB,Prospect Capital Corporation,25.33,,2015,,
864,DT,"Dynatrace, Inc.",25.33,$7.11B,2019,Technology,Computer Software: Prepackaged Software
2652,SSW^D,Seaspan Corporation,25.32,,,,
2320,PSB^W,"PS Business Parks, Inc.",25.32,,,,
1033,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,25.3,$1.85B,2003,,
2945,VER^F,VEREIT Inc.,25.3,,,,
2725,TCRZ,"THL Credit, Inc.",25.29,,2015,,
1402,HT^C,Hersha Hospitality Trust,25.28,,,,
986,EQH^A,"AXA Equitable Holdings, Inc.",25.28,,,,
1807,MITT^B,"AG Mortgage Investment Trust, Inc.",25.27,,,,
1897,MUR,Murphy Oil Corporation,25.27,$3.86B,,Energy,Oil & Gas Production
2314,PSA^V,Public Storage,25.27,,,Consumer Services,Real Estate Investment Trusts
3021,WFC^P,Wells Fargo & Company,25.2699,,,,
2730,TDE,"Telephone and Data Systems, Inc.",25.2645,,,Public Utilities,Telecommunications Equipment
2316,PSA^X,Public Storage,25.26,,,,
870,DTQ,DTE Energy Company,25.26,,,Public Utilities,Electric Utilities: Central
126,ALL^I,Allstate Corporation (The),25.26,,,,
2365,QVCC,"QVC, Inc.",25.25,,2019,Consumer Services,Catalog/Specialty Distribution
3019,WFC^N,Wells Fargo & Company,25.25,,,,
1404,HT^E,Hersha Hospitality Trust,25.24,,,,
2313,PSA^J,Public Storage,25.235,,,,
1156,GAB^G,"Gabelli Equity Trust, Inc. (The)",25.2305,,,,
2502,SBNA,Scorpio Tankers Inc.,25.2297,,2014,Transportation,Marine Transportation
261,AXS^D,Axis Capital Holdings Limited,25.2286,,,,
672,CORR^A,"CorEnergy Infrastructure Trust, Inc.",25.2265,,,,
2197,PEB^E,Pebblebrook Hotel Trust,25.2255,,,,
1930,NBLX,Noble Midstream Partners LP,25.22,$2.28B,2016,Energy,Natural Gas Distribution
628,CMRE^B,Costamare Inc.,25.22,,,,
2315,PSA^W,Public Storage,25.2188,,,,
1403,HT^D,Hersha Hospitality Trust,25.2038,,,,
550,CFR^A,"Cullen/Frost Bankers, Inc.",25.2012,,,,
2182,PCI,PIMCO Dynamic Credit and Mortgage Income Fund,25.2,$3.48B,2013,,
826,DLR^G,"Digital Realty Trust, Inc.",25.2,,,,
1231,GLOP^A,GasLog Partners LP,25.2,,,,
1470,INN^E,"Summit Hotel Properties, Inc.",25.2,,,,
3020,WFC^O,Wells Fargo & Company,25.19,,,,
773,DAR,Darling Ingredients Inc.,25.19,$4.12B,,Consumer Non-Durables,Packaged Foods
2969,VNO^K,Vornado Realty Trust,25.1886,,,,
2835,TRWH,"Twin River Worldwide Holdings, Inc.",25.18,$862M,2019,Consumer Services,Hotels/Resorts
530,CDR^B,"Cedar Realty Trust, Inc.",25.18,,,,
2293,PRIF^D,"Priority Income Fund, Inc.",25.1757,,,,
982,EPRT,"Essential Properties Realty Trust, Inc.",25.17,$2.04B,2018,Consumer Services,Real Estate Investment Trusts
1995,NLY^G,Annaly Capital Management Inc,25.14,,,,
1298,GSLD,"Global Ship Lease, Inc.",25.11,,2019,Transportation,Marine Transportation
2970,VNO^L,Vornado Realty Trust,25.1,,,,
2079,NVT,nVent Electric plc,25.1,$4.25B,2018,Technology,Industrial Machinery/Components
426,BSA,BrightSphere Investment Group Inc.,25.1,,2016,Finance,Investment Managers
1647,KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.09,,,,
1864,MS^L,Morgan Stanley,25.08,,,,
204,ARR^B,"ARMOUR Residential REIT, Inc.",25.075,,,,
2728,TDA,"Telephone and Data Systems, Inc.",25.05,,,Public Utilities,Telecommunications Equipment
1129,FRC^J,FIRST REPUBLIC BANK,25.03,,,,
1569,JPT,Nuveen Preferred and Income 2022 Term Fund,25.025,$170.99M,2017,,
1831,MNR^C,Monmouth Real Estate Investment Corporation,25.0245,,,,
2056,NTEST,NASDAQ TEST STOCK,25.01,,,,
2388,RELX,RELX PLC,25.01,$48.48B,2015,Consumer Services,Publishing
2895,UMH^D,"UMH Properties, Inc.",25.01,,,,
2214,PFS,"Provident Financial Services, Inc",25,$1.65B,2003,Finance,Savings Institutions
2705,SYX,Systemax Inc.,25,$938.28M,,Capital Goods,Industrial Machinery/Components
715,CTEST,NYSE Test One,25,,,,
548,CFG^E,"Citizens Financial Group, Inc.",24.99,,,,
732,CTY,Qwest Corporation,24.97,,2013,Public Utilities,Telecommunications Equipment
655,CODI,Compass Diversified Holdings,24.94,$1.49B,2006,Consumer Durables,Home Furnishings
2244,PK,Park Hotels & Resorts Inc.,24.94,$5.97B,2016,Consumer Services,Hotels/Resorts
664,COF^I,Capital One Financial Corporation,24.92,,,,
1252,GNL^B,"Global Net Lease, Inc.",24.9,,,,
2291,PRIF^B,"Priority Income Fund, Inc.",24.9,,,,
1536,JHG,Janus Henderson Group plc,24.89,$4.57B,2017,Finance,Investment Managers
656,CODI^A,Compass Diversified Holdings,24.86,,,,
2292,PRIF^C,"Priority Income Fund, Inc.",24.85,,,,
1232,GLOP^B,GasLog Partners LP,24.85,,,,
1015,ETP^E,"Energy Transfer Operating, L.P.",24.84,,,,
2680,STWD,"STARWOOD PROPERTY TRUST, INC.",24.84,$7B,2009,Consumer Services,Real Estate Investment Trusts
985,EQH,"AXA Equitable Holdings, Inc.",24.83,$16B,2018,Finance,Specialty Insurers
1748,MCX,Medley Capital Corporation,24.8,,2015,,
2290,PRIF^A,"Priority Income Fund, Inc.",24.6928,,,,
29,ACV,AllianzGI Diversified Income & Convertible Fund,24.69,$255.51M,2015,,
2323,PSB^Z,"PS Business Parks, Inc.",24.68,,,,
2046,NS^C,Nustar Energy L.P.,24.64,,,,
1120,FPI^B,Farmland Partners Inc.,24.6216,,,,
2953,VICI,VICI Properties Inc.,24.61,$11.35B,2018,Consumer Services,Real Estate Investment Trusts
1014,ETP^D,"Energy Transfer Operating, L.P.",24.61,,,,
2294,PRIF^E,"Priority Income Fund, Inc.",24.5872,,,,
1379,HOV,Hovnanian Enterprises Inc,24.57,$150.52M,,Capital Goods,Homebuilding
1766,MET^A,"MetLife, Inc.",24.565,,,,
2510,SCE^G,Southern California Edison Company,24.5,,,,
608,CLNY^G,"Colony Capital, Inc.",24.5,,,,
1883,MTOR,"Meritor, Inc.",24.46,$1.91B,,Capital Goods,Auto Parts:O.E.M.
3107,ZB^A,Zions Bancorporation N.A.,24.4207,,,,
37,AEB,Aegon NV,24.36,,,Finance,Life Insurance
1318,HAL,Halliburton Company,24.35,$21.37B,,Energy,Oilfield Services/Equipment
784,DCP^C,DCP Midstream LP,24.3301,,,,
102,AIW,Arlington Asset Investment Corp,24.33,,,Consumer Services,Real Estate Investment Trusts
2736,TDS,"Telephone and Data Systems, Inc.",24.31,$2.79B,,Public Utilities,Telecommunications Equipment
279,BAC^E,Bank of America Corporation,24.299,,,,
2795,TNP^D,Tsakos Energy Navigation Ltd,24.2737,,,,
1233,GLOP^C,GasLog Partners LP,24.24,,,,
2904,UNVR,Univar Solutions Inc.,24.24,$4.09B,2015,Consumer Durables,Specialty Chemicals
2982,VST,Vistra Energy Corp.,24.24,$11.81B,,Public Utilities,Electric Utilities: Central
442,BTT,BlackRock Municipal Target Term Trust Inc. (The),24.18,$1.7B,2012,,
1555,JNPR,"Juniper Networks, Inc.",24.11,$8.07B,1999,Technology,Computer Communications Equipment
1628,KRA,Kraton Corporation,24.11,$764.38M,2009,Basic Industries,Major Chemicals
2754,TFC^I,Truist Financial Corporation,24.08,,,,
782,DCP,DCP Midstream LP,24.04,$5.01B,,Public Utilities,Natural Gas Distribution
2511,SCE^H,Southern California Edison Company,24.0281,,,,
302,BBN,BalckRock Taxable Municipal Bond Trust,24.02,$1.37B,2010,,
1747,MCV,Medley Capital Corporation,24,,,,
397,BML^L,Bank of America Corporation,23.9956,,,,
2513,SCE^K,Southern California Edison Company,23.99,,,,
1529,JELD,"JELD-WEN Holding, Inc.",23.98,$2.41B,2017,Basic Industries,Forest Products
736,CUBI,"Customers Bancorp, Inc",23.97,$750.75M,,Finance,Major Banks
2165,PARR,"Par Pacific Holdings, Inc.",23.96,$1.23B,,Energy,Oil & Gas Production
382,BKR,Baker Hughes Company,23.95,$24.6B,2017,Energy,Metal Fabrications
1013,ETP^C,"Energy Transfer Operating, L.P.",23.95,,,,
1216,GJO,STRATS Trust,23.94,,,Finance,Finance: Consumer Services
855,DS^C,Drive Shack Inc.,23.9333,,,,
1315,GYC,Corporate Asset Backed Corp CABCO,23.9305,,,Finance,Finance: Consumer Services
1416,HUN,Huntsman Corporation,23.92,$5.39B,2005,Basic Industries,Major Chemicals
2512,SCE^J,Southern California Edison Company,23.89,,,,
880,DVN,Devon Energy Corporation,23.85,$9.16B,,Energy,Oil & Gas Production
2023,NOV,"National Oilwell Varco, Inc.",23.85,$9.2B,,Energy,Metal Fabrications
1117,FPF,First Trust Intermediate Duration Preferred & Income Fund,23.81,$1.45B,2013,,
609,CLNY^H,"Colony Capital, Inc.",23.8,,,,
6,ABB,ABB Ltd,23.79,$50.74B,,Consumer Durables,Electrical Products
2506,SC,Santander Consumer USA Holdings Inc.,23.75,$8.07B,2014,Finance,Finance: Consumer Services
2718,TBI,"TrueBlue, Inc.",23.74,$924.8M,,Technology,Professional Services
2485,SAIL,"SailPoint Technologies Holdings, Inc.",23.73,$2.12B,2017,Technology,Computer Software: Prepackaged Software
2489,SAN^B,"Banco Santander, S.A.",23.72,,,,
783,DCP^B,DCP Midstream LP,23.7,,,,
610,CLNY^I,"Colony Capital, Inc.",23.6796,,,,
2044,NS^A,Nustar Energy L.P.,23.63,,,,
2668,STK,"Columbia Seligman Premium Technology Growth Fund, Inc",23.54,$373.45M,2009,,
32,ADNT,Adient plc,23.53,$2.2B,2016,Capital Goods,Auto Parts:O.E.M.
373,BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",23.52,$3.23B,2018,Consumer Services,Department/Specialty Retail Stores
856,DS^D,Drive Shack Inc.,23.5,,,,
2874,UBA,Urstadt Biddle Properties Inc.,23.5,$936.59M,,Consumer Services,Real Estate Investment Trusts
2437,RNP,"Cohen & Steers REIT and Preferred and Income Fund,",23.5,$1.12B,2003,,
92,AIC,Arlington Asset Investment Corp,23.475,,2015,Consumer Services,Real Estate Investment Trusts
611,CLNY^J,"Colony Capital, Inc.",23.427,,,,
1205,GHM,Graham Corporation,23.41,$231.36M,,Technology,Industrial Machinery/Components
1162,GBAB,Guggenheim Taxable Municipal Managed Duration Trst,23.36,$407.11M,2010,,
1391,HRB,"H&R Block, Inc.",23.34,$4.56B,,Consumer Services,Other Consumer Services
396,BML^J,Bank of America Corporation,23.3133,,,,
427,BSAC,Banco Santander Chile,23.29,$10.97B,,Finance,Commercial Banks
1866,MSB,Mesabi Trust,23.27,$305.3M,,Basic Industries,Precious Metals
966,ENVA,"Enova International, Inc.",23.24,$784.82M,2014,Finance,Finance: Consumer Services
2349,PYT,PPlus Trust,23.15,,,Finance,Finance: Consumer Services
821,DLNG^A,Dynagas LNG Partners LP,23.14,,,,
2797,TNP^F,Tsakos Energy Navigation Ltd,23.08,,,,
2187,PD,"PagerDuty, Inc.",23.07,$1.78B,2019,Technology,Computer Software: Prepackaged Software
1285,GS^C,"Goldman Sachs Group, Inc. (The)",23.07,,,,
2112,OFG,OFG Bancorp,23.05,$1.18B,,Finance,Major Banks
2514,SCE^L,Southern California Edison Company,23,,,,
2796,TNP^E,Tsakos Energy Navigation Ltd,22.9427,,,,
1286,GS^D,"Goldman Sachs Group, Inc. (The)",22.94,,,,
792,DEA,"Easterly Government Properties, Inc.",22.93,$1.7B,2015,Consumer Services,Real Estate Investment Trusts
446,BUI,"BlackRock Utility, Infrastructure & Power Opportun",22.93,$390.85M,2011,,
2623,SPLP^A,Steel Partners Holdings LP,22.9,,,,
1152,FVRR,Fiverr International Ltd.,22.9,$730.51M,2019,Miscellaneous,Business Services
531,CDR^C,"Cedar Realty Trust, Inc.",22.9,,,,
1553,JMPE,JMP Group LLC,22.89,,2019,Finance,Investment Bankers/Brokers/Service
1481,IPG,"Interpublic Group of Companies, Inc. (The)",22.89,$8.88B,,Technology,Advertising
1979,NIE,AllianzGI Equity & Convertible Income Fund,22.88,$633.98M,2007,,
2392,REV,"Revlon, Inc.",22.85,$1.21B,1996,Consumer Non-Durables,Package Goods/Cosmetics
1217,GJP,"Synthetic Fixed-Income Securities, Inc.",22.8224,,,,
3043,WMB,"Williams Companies, Inc. (The)",22.82,$27.66B,,Public Utilities,Natural Gas Distribution
2570,SKM,"SK Telecom Co., Ltd.",22.82,$15.04B,,Public Utilities,Telecommunications Equipment
1929,NBL,Noble Energy Inc.,22.76,$10.89B,,Energy,Oil & Gas Production
2532,SEM,Select Medical Holdings Corporation,22.71,$3.05B,2009,Health Care,Hospital/Nursing Management
2756,TG,Tredegar Corporation,22.7,$757.05M,,Capital Goods,Metal Fabrications
2494,SB^C,"Safe Bulkers, Inc",22.69,,,,
2495,SB^D,"Safe Bulkers, Inc",22.65,,,,
315,BCH,Banco De Chile,22.58,$11.4B,,Finance,Commercial Banks
1091,FLC,Flaherty & Crumrine Total Return Fund Inc,22.58,$225.36M,2003,,
2144,ORI,Old Republic International Corporation,22.58,$6.85B,,Finance,Property-Casualty Insurers
2685,SUM,"Summit Materials, Inc.",22.57,$2.53B,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
161,ANH^B,Anworth Mortgage Asset  Corporation,22.51,,,,
2820,TRN,"Trinity Industries, Inc.",22.5,$2.76B,,Capital Goods,Railroads
1218,GJR,"Synthetic Fixed-Income Securities, Inc.",22.5,,,,
2836,TS,Tenaris S.A.,22.46,$13.26B,,Basic Industries,Steel/Iron Ore
2787,TMHC,Taylor Morrison Home Corporation,22.45,$2.38B,2013,Capital Goods,Homebuilding
1644,KW,Kennedy-Wilson Holdings Inc.,22.44,$3.2B,,Finance,Real Estate
1858,MS^A,Morgan Stanley,22.42,,,,
207,ASB,Associated Banc-Corp,22.39,$3.57B,,Finance,Major Banks
485,CAL,"Caleres, Inc.",22.38,$907.17M,,Consumer Non-Durables,Shoe Manufacturing
2261,PMT,PennyMac Mortgage Investment Trust,22.29,$2.03B,2009,Consumer Services,Real Estate Investment Trusts
1383,HPI,John Hancock Preferred Income Fund,22.28,$581.3M,2002,,
1398,HSC,Harsco Corporation,22.27,$1.75B,,Capital Goods,Metal Fabrications
2802,TOO^E,Teekay Offshore Partners L.P.,22.2699,,,,
2237,PING,Ping Identity Holding Corp.,22.26,$1.77B,2019,Technology,Computer Software: Prepackaged Software
1168,GCP,GCP Applied Technologies Inc.,22.26,$1.62B,2016,Basic Industries,Major Chemicals
2792,TNK,Teekay Tankers Ltd.,22.22,$747.15M,2007,Consumer Services,Marine Transportation
3114,ZTO,ZTO Express (Cayman) Inc.,22.12,$17.3B,2016,Transportation,Trucking Freight/Courier Services
1336,HEP,"Holly Energy Partners, L.P.",22.11,$2.33B,2004,Energy,Natural Gas Distribution
1925,NAV^D,Navistar International Corporation,22.1,,,Capital Goods,Auto Manufacturing
2368,RA,Brookfield Real Assets Income Fund Inc.,22.1,$806.12M,2016,,
478,CAF,Morgan Stanley China A Share Fund Inc.,22.09,$483.36M,2006,,
168,APA,Apache Corporation,22.07,$8.3B,,Energy,Oil & Gas Production
1461,IMAX,Imax Corporation,22.06,$1.35B,,Miscellaneous,Industrial Machinery/Components
2431,RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",22.02,$140.34M,2018,,
2801,TOO^B,Teekay Offshore Partners L.P.,22,,,,
2621,SPH,"Suburban Propane Partners, L.P.",22,$1.37B,1996,Consumer Services,Other Specialty Stores
390,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",22,$871.24M,1992,Finance,Commercial Banks
87,AHT^H,Ashford Hospitality Trust Inc,21.98,,,,
1545,JLS,Nuveen Mortgage and Income Fund,21.94,$120.38M,2009,,
2590,SNDR,"Schneider National, Inc.",21.93,$3.88B,2017,Transportation,Trucking Freight/Courier Services
88,AHT^I,Ashford Hospitality Trust Inc,21.8572,,,,
1543,JKS,JinkoSolar Holding Company Limited,21.8,$956.27M,2010,Technology,Semiconductors
619,CMC,Commercial Metals Company,21.78,$2.58B,,Basic Industries,Steel/Iron Ore
2840,TSLX,"TPG Specialty Lending, Inc.",21.77,$1.45B,2014,,
1382,HPF,John Hancock Pfd Income Fund II,21.75,$464.08M,2002,,
1284,GS^A,"Goldman Sachs Group, Inc. (The)",21.75,,,,
2865,TX,Ternium S.A.,21.72,$4.26B,,Basic Industries,Steel/Iron Ore
2993,WAAS,AquaVenture Holdings Limited,21.7,$688.75M,2016,Public Utilities,Water Supply
569,CHN,"China Fund, Inc. (The)",21.69,$232.77M,,,
3040,WLKP,Westlake Chemical Partners LP,21.68,$762.88M,2014,Basic Industries,Major Chemicals
1293,GSBD,"Goldman Sachs BDC, Inc.",21.65,$873.95M,2015,,
2857,TWN,"Taiwan Fund, Inc. (The)",21.65,$166.25M,1986,,
972,EOT,Eaton Vance Municipal Income Trust,21.64,$329.76M,2009,,
1020,ETX           ,Eaton Vance Municipal Income 2028 Term Trust,21.64,$234.47M,2013,,
2525,SCU,"Sculptor Capital Management, Inc.",21.64,$1.08B,,Finance,Investment Managers
1324,HCC,"Warrior Met Coal, Inc.",21.63,$1.1B,2017,Energy,Coal Mining
2189,PDM,"Piedmont Office Realty Trust, Inc.",21.61,$2.72B,,Consumer Services,Building operators
1584,KAR,"KAR Auction Services, Inc",21.61,$2.78B,2009,Consumer Durables,Automotive Aftermarket
394,BML^G,Bank of America Corporation,21.6,,,,
2911,USB^H,U.S. Bancorp,21.5847,,,,
1528,JEF,Jefferies Financial Group Inc.,21.57,$6.47B,,Finance,Investment Bankers/Brokers/Service
90,AI^B,Arlington Asset Investment Corp,21.5553,,,,
85,AHT^F,Ashford Hospitality Trust Inc,21.55,,,,
414,BRBR,"BellRing Brands, Inc.",21.55,$849.69M,2019,Consumer Non-Durables,Packaged Foods
1618,KN,Knowles Corporation,21.53,$1.97B,2014,Consumer Non-Durables,Consumer Electronics/Appliances
3055,WPG^H,Washington Prime Group Inc.,21.52,,,,
1927,NBB,Nuveen Taxable Municipal Income Fund,21.52,$588.7M,2010,,
1093,FLO,"Flowers Foods, Inc.",21.49,$4.55B,,Consumer Non-Durables,Packaged Foods
1177,GDV,The Gabelli Dividend & Income Trust,21.47,$1.77B,2003,,
91,AI^C,Arlington Asset Investment Corp,21.45,,,,
1072,FFC,Flaherty & Crumrine Preferred and Income Securitie,21.44,$951.81M,2003,,
3051,WORK,"Slack Technologies, Inc.",21.41,$11.78B,2019,Consumer Services,Other Consumer Services
226,ATI,Allegheny Technologies Incorporated,21.4,$2.7B,,Basic Industries,Steel/Iron Ore
1800,MHNC,"Maiden Holdings, Ltd.",21.3555,,2013,Finance,Property-Casualty Insurers
86,AHT^G,Ashford Hospitality Trust Inc,21.33,,,,
2045,NS^B,Nustar Energy L.P.,21.32,,,,
2669,STL,Sterling Bancorp,21.3,$4.3B,,Finance,Major Banks
2990,VVV,Valvoline Inc.,21.29,$4.01B,2016,Basic Industries,Major Chemicals
349,BGSF,BG Staffing Inc,21.29,$218.05M,,Technology,Professional Services
1448,IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.,21.28,$230.48M,2009,,
3090,XHR,"Xenia Hotels & Resorts, Inc.",21.25,$2.39B,2015,Consumer Services,Hotels/Resorts
2172,PBFX,PBF Logistics LP,21.18,$1.32B,2014,Energy,Natural Gas Distribution
1886,MTT,Western Asset Municipal Defined Opportunity Trust Inc,21.15,$257.79M,2009,,
1219,GJS,STRATS Trust,21.15,,,Finance,Finance: Consumer Services
1819,MMD,MainStay MacKay DefinedTerm Municipal Opportunitie,21.15,$583.6M,2012,,
2022,NOMD,Nomad Foods Limited,21.12,$4.11B,2016,Consumer Non-Durables,Packaged Foods
767,CZZ,Cosan Limited,21.04,$4.67B,,Consumer Non-Durables,Specialty Foods
118,ALEX,"Alexander & Baldwin, Inc.",21,$1.52B,,Consumer Services,Real Estate Investment Trusts
1910,MXL,"MaxLinear, Inc",20.99,$1.5B,2010,Technology,Semiconductors
1388,HQH,Tekla Healthcare Investors,20.99,$891.59M,1987,,
1,AA,Alcoa Corporation,20.98,$3.89B,2016,Basic Industries,Aluminum
425,BRX,Brixmor Property Group Inc.,20.97,$6.25B,2013,Consumer Services,Real Estate Investment Trusts
1932,NBR^A,Nabors Industries Ltd.,20.95,,,,
615,CLW,Clearwater Paper Corporation,20.94,$345.84M,,Basic Industries,Paper
2221,PGZ,Principal Real Estate Income Fund,20.91,$144.27M,2013,,
2037,NRP,Natural Resource Partners LP,20.87,$255.89M,2002,Energy,Coal Mining
946,ELY,Callaway Golf Company,20.86,$1.96B,1992,Consumer Non-Durables,Recreational Products/Toys
2980,VSH,"Vishay Intertechnology, Inc.",20.85,$3.01B,,Capital Goods,Electrical Products
1418,HVT,"Haverty Furniture Companies, Inc.",20.84,$409M,,Consumer Services,Other Specialty Stores
1844,MOV,Movado Group Inc.,20.84,$479.7M,,Consumer Non-Durables,Consumer Specialties
1339,HESM,Hess Midstream LP,20.82,$1.14B,2017,Energy,Oil & Gas Production
1444,IFN,"India Fund, Inc. (The)",20.75,$558.27M,,,
215,ASIX,AdvanSix Inc.,20.73,$578.62M,2016,Basic Industries,Major Chemicals
2979,VRTV,Veritiv Corporation,20.72,$333.59M,2014,Consumer Services,Paper
1220,GJT,"Synthetic Fixed-Income Securities, Inc.",20.7136,,,Finance,Finance: Consumer Services
2800,TOO^A,Teekay Offshore Partners L.P.,20.71,,,,
1591,KEN,Kenon Holdings Ltd.,20.7057,$1.11B,2015,Public Utilities,Electric Utilities: Central
